image_name,ds_row,ds_col,channel_id,marker,focus_id,x,y
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,0,377,351
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,1,352,362
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,2,316,34
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,3,833,47
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,4,831,52
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,5,1204,70
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,6,1209,73
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,7,1432,406
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,8,1438,408
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,9,1580,708
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,10,1287,767
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,11,1283,775
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,12,1632,816
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,13,1574,1093
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,14,1570,1098
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,15,1766,1701
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,16,1760,1705
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,17,1941,1940
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,18,1940,1946
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,19,1328,1953
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,20,1330,1958
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,21,924,1855
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,22,924,1863
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,23,262,1806
RPE1wt_CEP152+GTU88+PCNT_1_000_000_max_C1,0,0,1,CEP152,24,256,1812
